Date,Open,High,Low,Close,Adj Close,Volume
2019-05-01,146.050003,146.449997,115.000000,115.650002,109.388130,42115631
2019-06-01,115.000000,126.500000,90.000000,109.449997,103.523819,95170836
2019-07-01,110.000000,126.300003,108.099998,119.550003,113.076965,56305781
2019-08-01,118.449997,121.800003,102.449997,107.400002,101.584824,43768935
2019-09-01,107.050003,128.350006,106.699997,118.949997,112.509445,68994854
2019-10-01,118.650002,139.649994,113.355003,131.250000,129.249908,95550631
2019-11-01,132.800003,132.800003,116.500000,123.400002,121.519539,64868870
2019-12-01,123.900002,166.449997,120.400002,144.199997,142.002563,83628469
2020-01-01,144.199997,154.600006,134.800003,135.600006,135.600006,62070069
2020-02-01,135.449997,143.899994,119.449997,121.699997,121.699997,73617014
2020-03-01,123.699997,124.328003,53.500000,78.080002,78.080002,124739083
2020-04-01,74.300003,86.365997,62.014000,77.650002,77.650002,103430613
2020-05-01,77.900002,81.300003,64.849998,75.349998,75.349998,121170714
2020-06-01,77.150002,99.800003,73.574997,89.849998,89.849998,86291555
2020-07-01,92.000000,92.349998,73.500000,73.599998,73.599998,61396407
2020-08-01,72.800003,96.199997,71.099998,92.349998,92.349998,43118091
2020-09-01,91.400002,96.699997,77.949997,93.300003,93.300003,60624562
2020-10-01,93.949997,110.556999,90.949997,96.050003,96.050003,50430890
2020-11-01,95.000000,121.300003,91.400002,110.400002,110.400002,76620773
2020-12-01,111.500000,130.000000,101.366997,115.800003,115.800003,67112295
2021-01-01,115.800003,127.699997,106.300003,109.900002,109.900002,125241109
2021-02-01,109.800003,127.599998,105.900002,126.699997,126.699997,83510115
2021-03-01,127.400002,147.500000,125.900002,142.899994,142.899994,55404660
2021-04-01,144.300003,146.800003,138.800003,142.300003,142.300003,14910895
